rMATS_ID	geneSymbol	Chromosome	Start	End	Intron_Type	rMATS_IncLevelDifference	rMATS_FDR	intron	logef	Hyp	Norm	deltapsi
3		chr21	6487412	6492130	Upstream_Intron	-0.01	0.275354276641823	chr21:6487412:6492131:clu_4270_-	1.20422169885891	0.0860405941258972	0.269478679132997	0.1834380850071
3		chr21	6492197	6495992	Downstream_Intron	-0.01	0.275354276641823	chr21:6492197:6495993:clu_4270_-	0.956344521191606	0.171607915026496	0.419475532207532	0.247867617181036
202	TIAM1	chr21	31266983	31276731	Downstream_Intron	0.008	0.267250476490873	chr21:31266983:31276732:clu_4318_-	1.96876458424638	0.0599020528059306	0.549803074482742	0.489901021676811
205	TIAM1	chr21	31266983	31276731	Upstream_Intron	-0.582	0.0268544629579864	chr21:31266983:31276732:clu_4318_-	1.96876458424638	0.0599020528059306	0.549803074482742	0.489901021676811
205	TIAM1	chr21	31276908	31339242	Downstream_Intron	-0.582	0.0268544629579864	chr21:31276908:31339243:clu_4318_-	-0.984368740275572	0.418505592246522	0.200418227476922	-0.218087364769601
205	TIAM1	chr21	31266983	31339242	Exclusion_Intron	-0.582	0.0268544629579864	chr21:31266983:31339243:clu_4318_-	-0.984395843970811	0.521592354947547	0.249778698040337	-0.27181365690721
209	ITGB2	chr21	44910785	44920820	Upstream_Intron	0.069	0.222458293404022	chr21:44910785:44920821:clu_4340_-	-0.0666388207033433	0.346162158061233	0.316645764672879	-0.0295163933883537
209	ITGB2	chr21	44910785	44928653	Exclusion_Intron	0.069	0.222458293404022	chr21:44910785:44928654:clu_4340_-	0.0666388207033433	0.653837841938767	0.683354235327121	0.0295163933883538
210	ITGB2	chr21	44910785	44920820	Upstream_Intron	0.06	0.275508368123175	chr21:44910785:44920821:clu_4340_-	-0.0666388207033433	0.346162158061233	0.316645764672879	-0.0295163933883537
210	ITGB2	chr21	44910785	44928653	Exclusion_Intron	0.06	0.275508368123175	chr21:44910785:44928654:clu_4340_-	0.0666388207033433	0.653837841938767	0.683354235327121	0.0295163933883538
217	TTC3	chr21	37126143	37129002	Upstream_Intron	-0.051	0.236254840725955	chr21:37126143:37129003:clu_4251_+	0.602606343800161	0.424922091222944	0.469812272595499	0.0448901813725558
217	TTC3	chr21	37129063	37132681	Downstream_Intron	-0.051	0.236254840725955	chr21:37129063:37132682:clu_4251_+	0.489308482503556	0.527207568913585	0.520465621123755	-0.0067419477898299
217	TTC3	chr21	37126143	37132681	Exclusion_Intron	-0.051	0.236254840725955	chr21:37126143:37132682:clu_4251_+	-1.09191482630372	0.0478703398634709	0.009722106280745	-0.0381482335827259
218	TTC3	chr21	37129063	37132681	Upstream_Intron	-0.007	0.105907815324329	chr21:37129063:37132682:clu_4251_+	0.489308482503556	0.527207568913585	0.520465621123755	-0.0067419477898299
220	TTC3	chr21	37150170	37150819	Upstream_Intron	-0.292	0.0540762356620531	chr21:37150170:37150820:clu_4252_+	4.2563915695592	0.470664216400228	0.539990544114978	0.0693263277147494
220	TTC3	chr21	37150884	37151892	Downstream_Intron	-0.292	0.0540762356620531	chr21:37150884:37151893:clu_4252_+	4.32650403695042	0.37380222350741	0.460008982224145	0.0862067587167356
220	TTC3	chr21	37150170	37151892	Exclusion_Intron	-0.292	0.0540762356620531	chr21:37150170:37151893:clu_4252_+	-8.58289560650962	0.155533560092362	4.74e-07	-0.155533086431485
227	TTC3	chr21	37191424	37192111	Upstream_Intron	-0.278	0.0576395741687423	chr21:37191424:37192112:clu_4253_+	6.01912064603856	0.330391200420408	0.374685127805273	0.0442939273848644
227	TTC3	chr21	37192213	37195674	Downstream_Intron	-0.278	0.0576395741687423	chr21:37192213:37195675:clu_4253_+	6.18687468521256	0.46623633808547	0.625314869390179	0.15907853130471
227	TTC3	chr21	37191424	37195674	Exclusion_Intron	-0.278	0.0576395741687423	chr21:37191424:37195675:clu_4253_+	-12.2059953312511	0.203372461494122	2.8e-09	-0.203372458689574
247	SOD1	chr21	31659841	31663789	Upstream_Intron	-0.012	0.0944489265484203	chr21:31659841:31663790:clu_4240_+	0.61930861230339	0.219580425390812	0.222978498016799	0.0033980726259868
247	SOD1	chr21	31663886	31666448	Downstream_Intron	-0.012	0.0944489265484203	chr21:31663886:31666449:clu_4240_+	0.575407320393594	0.378701097360234	0.368044081603546	-0.0106570157566885
247	SOD1	chr21	31659841	31666448	Exclusion_Intron	-0.012	0.0944489265484203	chr21:31659841:31666449:clu_4240_+	-0.924398216129625	0.0104806905468468	0.0022731908776374	-0.0082074996692093
248	SOD1	chr21	31659841	31666448	Upstream_Intron	-0.027	0.18128622716717	chr21:31659841:31666449:clu_4240_+	-0.924398216129625	0.0104806905468468	0.0022731908776374	-0.0082074996692093
248	SOD1	chr21	31666518	31667257	Downstream_Intron	-0.027	0.18128622716717	chr21:31666518:31667258:clu_4240_+	0.654336061089621	0.385547086349519	0.405470270485935	0.0199231841364161
248	SOD1	chr21	31659841	31667257	Exclusion_Intron	-0.027	0.18128622716717	chr21:31659841:31667258:clu_4240_+	-0.924653777656981	0.0056907003525877	0.0012339590160827	-0.004456741336505
251	USP25	chr21	15805258	15808808	Upstream_Intron	-0.236	0.0576395741687423	chr21:15805258:15808809:clu_4235_+	2.65130753823287	0.433292888487462	0.557928539738008	0.124635651250546
251	USP25	chr21	15808885	15811136	Downstream_Intron	-0.236	0.0576395741687423	chr21:15808885:15811137:clu_4235_+	2.40993153488456	0.436968701625143	0.441996755351046	0.0050280537259028
251	USP25	chr21	15805258	15811136	Exclusion_Intron	-0.236	0.0576395741687423	chr21:15805258:15811137:clu_4235_+	-5.06123907311743	0.129738409887395	7.47e-05	-0.129663704976449
255	USP25	chr21	15827203	15830530	Upstream_Intron	-0.111	0.0576395741687423	chr21:15827203:15830531:clu_4236_+	3.32386659687555	0.514494301901706	0.517040675953718	0.0025463740520116
255	USP25	chr21	15830601	15831400	Downstream_Intron	-0.111	0.0576395741687423	chr21:15830601:15831401:clu_4236_+	3.44844431684646	0.424287967745466	0.482956787123875	0.0586688193784087
255	USP25	chr21	15827203	15831400	Exclusion_Intron	-0.111	0.0576395741687423	chr21:15827203:15831401:clu_4236_+	-6.77231091372201	0.0612177303528277	2.54e-06	-0.0612151934304204
256	USP25	chr21	15827203	15831400	Upstream_Intron	0.012	0.425452097924407	chr21:15827203:15831401:clu_4236_+	-6.77231091372201	0.0612177303528277	2.54e-06	-0.0612151934304204
257	USP25	chr21	15833548	15842397	Downstream_Intron	0.002	0.231894043016348	chr21:15833548:15842398:clu_4234_+	0.488779509117085	0.481949860962182	0.504826046174844	0.0228761852126621
258	USP25	chr21	15833548	15842397	Upstream_Intron	-0.04	0.139750403169549	chr21:15833548:15842398:clu_4234_+	0.488779509117085	0.481949860962182	0.504826046174844	0.0228761852126621
258	USP25	chr21	15842540	15864267	Downstream_Intron	-0.04	0.139750403169549	chr21:15842540:15864268:clu_4234_+	0.465215689603816	0.47314382559454	0.48406026574018	0.01091644014564
258	USP25	chr21	15833548	15864267	Exclusion_Intron	-0.04	0.139750403169549	chr21:15833548:15864268:clu_4234_+	-0.953995198720901	0.0449063134432785	0.0111136880849765	-0.033792625358302
260	USP25	chr21	15842540	15864267	Exclusion_Intron	-0.041	0.0879529176075228	chr21:15842540:15864268:clu_4234_+	0.465215689603816	0.47314382559454	0.48406026574018	0.01091644014564
330	PSMG1	chr21	39178647	39179923	Upstream_Intron	-0.324	0.0219094196273501	chr21:39178647:39179924:clu_4332_-	0.606257803484569	0.417512774274539	0.514347806992923	0.0968350327183839
330	PSMG1	chr21	39179986	39180284	Downstream_Intron	-0.324	0.0219094196273501	chr21:39179986:39180285:clu_4332_-	0.615143925609212	0.354379154125951	0.440468125073787	0.0860889709478355
330	PSMG1	chr21	39178647	39180284	Exclusion_Intron	-0.324	0.0219094196273501	chr21:39178647:39180285:clu_4332_-	-1.22140172909378	0.22810807159951	0.0451840679332906	-0.182924003666219
338	NDUFV3	chr21	42897047	42903181	Downstream_Intron	-0.046	0.102275307545667	chr21:42897047:42903182:clu_4261_+	0.320356523297073	0.231813928838938	0.351291228633045	0.119477299794108
339	NDUFV3	chr21	42897047	42908863	Downstream_Intron	-0.017	0.183638731707009	chr21:42897047:42908864:clu_4261_+	-0.600335585147165	0.453091161945101	0.273439887772728	-0.179651274172374
340	NDUFV3	chr21	42897047	42903181	Upstream_Intron	-0.181	0.0578170493082522	chr21:42897047:42903182:clu_4261_+	0.320356523297073	0.231813928838938	0.351291228633045	0.119477299794108
340	NDUFV3	chr21	42904276	42908863	Downstream_Intron	-0.181	0.0578170493082522	chr21:42904276:42908864:clu_4261_+	0.0708695902104054	0.242911895294784	0.286830785797848	0.043918890503064
340	NDUFV3	chr21	42897047	42908863	Exclusion_Intron	-0.181	0.0578170493082522	chr21:42897047:42908864:clu_4261_+	-0.600335585147165	0.453091161945101	0.273439887772728	-0.179651274172374
342	FAM3B	chr21	41304310	41322922	Exclusion_Intron	0.006	0.635889789448145	chr21:41304310:41322923:clu_4258_+	0.204931590429866	0.2934896529822	0.303808742710913	0.0103190897287134
344	FAM3B	chr21	41304310	41322922	Upstream_Intron	0.033	0.546691274332017	chr21:41304310:41322923:clu_4258_+	0.204931590429866	0.2934896529822	0.303808742710913	0.0103190897287134
344	FAM3B	chr21	41323066	41338377	Downstream_Intron	0.033	0.546691274332017	chr21:41323066:41338378:clu_4258_+	0.264687730106517	0.245377911960986	0.269646446213079	0.0242685342520926
344	FAM3B	chr21	41304310	41338377	Exclusion_Intron	0.033	0.546691274332017	chr21:41304310:41338378:clu_4258_+	0.315020374459816	0.292677926659229	0.338227093751468	0.0455491670922389
348	FAM3B	chr21	41346407	41347012	Downstream_Intron	0.001	0.987997430363739	chr21:41346407:41347013:clu_4260_+	0.265541020076331	0.0969156067037764	0.154348617681326	0.0574330109775493
348	FAM3B	chr21	41345736	41347012	Exclusion_Intron	0.001	0.987997430363739	chr21:41345736:41347013:clu_4260_+	-0.265541020076331	0.903084393296224	0.845651382318674	-0.0574330109775493
